,"fold-change edad [0,12]","fold-change edad [13,19]","fold-change edad [20,99]",fold-change mujer,fold-change hombre,"fold-change mujer edad [0,12]","fold-change mujer edad [13,19]","fold-change mujer edad [20,99]","fold-change hombre edad [0,12]","fold-change hombre edad [13,19]","fold-change hombre edad [20,99]"
UAP1L1,-0.10409500366523881,0.0,-0.20645136553020393,-0.1126193824967305,-0.21388493790163857,0.10025447933204287,0.0,-0.1251138906546435,-0.11235229821187381,0.0,-0.24640197298266292
ADSS,0.04906979165770997,0.0,0.005022999291542205,-0.027375417433958642,0.04040520596970233,-0.17399008719347306,0.0,-0.0281502393161731,0.03819929590660027,0.0,0.10875307089769927
ADSSL1,0.007157485093997292,0.0,-0.035752278312987065,-0.08891805403967055,0.0022349129968393783,-0.2779430428180087,0.0,-0.05242218209506079,0.10998629273406418,0.0,0.053544357072830805
ALPI,-0.8930847960834882,0.0,inf,-0.5235619560570127,inf,-2.0,0.0,0,0,0.0,inf
ALPL,-0.03215977833401379,0.0,0.021116128308122196,0.1434801592820448,0.027085513904001775,0.5498193456721191,0.0,0.129031318631769,-0.061261714262001325,0.0,-0.051855072837680614
ALPP,-0.6108789879994757,0.0,-0.16030622664042785,-0.1538295260178745,-0.471906423870138,inf,0.0,-0.0562556002732321,-0.4227929142630327,0.0,-0.47836301998677344
ALPPL2,0,0.0,-0.9499593175004044,-0.523561956057013,0,0,0.0,-0.44360665147561484,0,0.0,0
AMPD1,0.24106896357052013,0.0,-0.07148497812157222,-0.009911520291269271,0.2059163849271849,0.1263452819540647,0.0,-0.09310039647252594,-0.2696998092770696,0.0,0.33212513992882103
ATIC,0.07267593844240096,0.0,0.048249564224063665,0.03312963336092589,0.025932369267835636,0.29570493795546204,0.0,0.008455329193964094,-0.011763306397912626,0.0,0.1944686012368605
ENPP1,0.2304921671609425,0.0,-0.05960015737399196,-0.06234720269939063,-0.022707554159787882,0.21642787065829847,0.0,-0.0825807814548366,0.04858834070477233,0.0,0.06177023420275731
ENTPD5,0.0002758025071652535,0.0,-0.045324963926538626,-0.024603392035777393,-0.06146319949647829,-0.06714562091417933,0.0,-0.03222205369623177,-0.05376400175201322,0.0,0.04239929353738189
ENTPD6,0.058594545161125854,0.0,-0.10979232986027782,-0.015360834479176324,-0.13572115576274033,0.37248549517065527,0.0,-0.04101128808041214,-0.04919754053039444,0.0,-0.0846543146463898
GCH1,0.1010437227156783,0.0,-0.0022616523610431666,0.04656112673346504,-0.009053625564852815,0.3646411856719093,0.0,-0.024116338210214788,-0.013246108806836585,0.0,0.06377749031352502
GCHFR,-0.01797860923437108,0.0,-0.1789368244596201,-0.07668863436214797,-0.186264860617761,0.25112638601774345,0.0,-0.0630428876927948,-0.022435965348864596,0.0,-0.22056007389810955
GMPR,-0.12067446459777596,0.0,-0.02715896346506881,-0.04316732075876333,-0.07506447523984884,-0.8167467812468435,0.0,0.04268874215504515,0.056744394731264934,0.0,-0.023752924935832552
GMPR2,0.06378490503085085,0.0,0.013013347030593397,0.00304542031301719,0.06190195163932179,0.1075638868654267,0.0,-0.011361203991345317,0.021941796483354547,0.0,0.08787846357573069
GMPS,0.0725627612037935,0.0,0.0014310064481353366,0.009412378994238567,0.00376205945456075,0.15432714563662192,0.0,-0.01825163634048176,-0.011526648128575076,0.0,0.10851567324959105
GPHN,0.0445047866425205,0.0,-0.011481129168601023,-0.006934912388167771,-0.0005913362771430355,0.35657622158113894,0.0,-0.0025659448209243677,-0.033462958429114356,0.0,0.1111186529771707
GUK1,0.06244932696364763,0.0,-0.20746900104814064,-0.05877258335652938,-0.1656612624859138,0.2728151347290493,0.0,-0.1087055201879328,0.011529038487906557,0.0,-0.1996211513647216
IBSP,-0.8930847960834882,0.0,-0.002265121675136413,-0.523561956057013,-0.43072606173483796,0,0.0,-0.44360665147561484,-0.5849625007211563,0.0,inf
IMPDH1,0.07916260567996715,0.0,-0.07511889063554072,-0.03462342813819146,0.0024339469596225028,0.14396421196893383,0.0,-0.057400655125386946,0.03963337902720859,0.0,-0.0648309698755784
IMPDH2,0.10660498366743523,0.0,-0.016481294711337607,0.027149107568396755,-0.04119047942177751,0.43153297206969055,0.0,-0.010985847113827012,-0.004770277186456576,0.0,0.08459672717134017
ITPA,-0.031889527931080124,0.0,0.014915658939232775,0.0076880005136017214,-0.030230242063865983,-0.014243959728753166,0.0,0.022562611003442975,-0.03469110765073291,0.0,0.06304940310791586
MOCS1,-0.1253761595461726,0.0,-0.19851372127892888,0.14465219181350797,-0.5001021969123212,1.112034040432117,0.0,0.1099108667944134,-0.3125580627164942,0.0,-0.5026291878190929
MOCS2,0.03769319562663765,0.0,0.02030934570668783,0.018530053056687687,-0.016308594861118582,0.18294366735829265,0.0,0.002140423816708001,-0.026494841511306585,0.0,0.13375408127722774
NME7,0.058160330869292884,0.0,-0.005038295087077727,-0.01858882007586876,0.0179802010127274,0.06172768949487279,0.0,-0.04162251327891817,0.012546705112584653,0.0,0.123668631565514
NUDT16,-0.031035451300518213,0.0,0.00810429561155196,-0.029349474456597573,0.015664947743621954,-0.22949712415364917,0.0,0.010046889676238305,-0.0042446217545563485,0.0,0.009087387673834227
SUOX,0.015069265465042121,0.0,-0.0435062681532625,-0.04353874918179631,-0.01105932760717391,-0.0798375677891614,0.0,-0.06016161167001721,0.020315421354822737,0.0,0.00797794634815457
THY1,-0.21885230944542203,0.0,0.24813600396097643,-0.1345379060072875,0.41180061407101815,0,0.0,0.00825884963148183,0.08926998591690957,0.0,0.5458460124393439
TPMT,0.12369439566664593,0.0,0.05567810261158645,0.033293490179921566,0.05365801154280412,0.17682750755784682,0.0,0.004644407396914896,0.07482768702432642,0.0,0.1006355263131752
TYR,0,0.0,0,0,0,0,0.0,0,0,0.0,0
