,fold-change Series1,fold-change Series2,fold-change Series5,fold-change Series6,fold-change Series7,fold-change Series9 NHBE_IFNB_4h,fold-change Series9 NHBE_IFNB_6h,fold-change Series9 NHBE_IFNB_12h,fold-change Series15,fold-change Series16 A549-ACE2_SARS-CoV-2,fold-change Series16 A549-ACE2_SARS-CoV-2_Rux
IRF9,1.1838551315904478,2.259669805972525,1.1245182456206635,1.5131429142299513,2.314439378161795,2.3471680276982037,2.4764289660267016,2.2847668860970156,3.0083816723380976,2.864200097918587,1.29404023460304
ISG15,0.6825925317143005,3.872432528430948,0.39590164609062367,0.497634915059878,2.985645195363241,4.938240333752008,5.534910321881748,6.465814230716897,5.535201912794378,5.540102539731878,1.3213375769708378
KPNA1,-0.25443742967572724,0.3254431480864055,0.3460370547729211,-0.04889477472294293,0.5988165086741919,0.6251422267674538,0.9081883445989385,0.5417994094623235,0.3832591002770419,1.3019078482974553,1.5191173808637137
KPNB1,-0.026910070786540063,0.12683686522397777,0.25859524341370216,0.09611485834017332,0.489053233839077,0.17295253474269998,0.2715051306837529,0.11483216824645667,2.261410651806159,1.1668182034676493,1.2038137115814038
MAVS,-0.03002550762175557,-0.06437669488831964,0.06666582928533196,-0.03930801908317685,0.35013174424656157,0.3407478968683801,0.4960780819070559,0.30799977820630986,-2.0030288650488144,0.22944709731353646,0.5059364828087193
MX1,2.4240277395429053,5.100300195996423,1.3318257053878904,1.363911319955186,4.354085365359762,7.187999356731958,7.789698588767154,8.18949509185223,4.876180902924893,6.604562268009788,1.8769677954354165
MX2,2.0889495694926326,2.690115319184997,0.713245840023875,inf,5.805970948531286,8.201266217082551,8.832949006893312,9.424297298307117,6.263173661620645,7.649904572219685,2.675707973276232
NFKB1,0.44293210377146586,0.08743793162679579,1.2461379356121813,2.1457834081887794,1.9909728959566344,1.3406072062359344,1.08976503431515,0.5849788798414438,1.146302524034652,4.338558336101425,4.535182062419484
NFKB2,0.8998422959211723,-0.06806514269941435,1.32697828074649,1.62188002792665,1.8454479599315081,0.7511521231029784,0.6448191552373436,0.4453191414428002,0.8690787655918008,3.7132093677789815,3.791634147235503
NOD2,1.1494757149061892,0.30828192262997817,2.4942009655142563,inf,3.345117473871882,-0.855801960719408,0.49561542058487007,-0.884726903321211,-2.3609356204229575,4.032361031640059,4.165636670724043
RIPK2,-0.07382065653866102,0.3634480010524097,1.0083978254300718,0.8616779448121689,2.110232142043028,0.5264189988414377,1.0001731361353245,0.7843648132096066,2.70903751853777,2.4534422442999975,2.5432566669084493
NOS1,0.012120757551894349,-0.17893654740675893,1.4679878347214057,1.2360428276304205,inf,0.0897121506043961,0.45276688977036395,-0.08109745226432805,inf,1.8390303761250875,1.400091566582012
NOS2,inf,1.816778460542962,-0.5236143019736396,1.4633096053549375,inf,0,0,0,0.25660381285763484,0.8304057092688258,-0.49846163250990166
NOS3,-0.5225295943919204,0.9458333766823882,0.09081521284744465,inf,1.6287840614680402,1.332537403401521,2.043185425862301,1.2729991944731895,-2.494916600557931,2.672457090374188,inf
OAS1,1.6150855947743126,1.642543414477617,-0.6949528952854304,-0.21679979561597196,3.4983262704346374,4.3462386378251265,4.8729922693559145,5.633225273654037,6.746157010267994,4.470700940689695,0.8870445346889545
OASL,0.2825065217164157,2.6703715900896863,1.2343621398933209,inf,3.9283960465396137,6.016703529818103,6.711637475647214,7.104361293981155,4.488515205774983,8.76630594053559,3.548686270520954
PIAS1,-0.10282335389389696,0.315869759195516,-0.10686140633015721,0.19566924766175903,0.9834358040221907,0.08867635064338437,0.29759742086382335,0.1777142800195274,0.6144102239827894,2.3471234719567238,2.572235462202903
S100A10,-0.1138101941618553,0.12518484828804372,-0.08715587786068132,-0.5792769593988795,0.001843120612712815,0.19469188784539418,0.15578977060471666,0.030080414123638412,0.24296319746632833,-0.1284733956303922,-0.17242968073561935
S100A11,0.09368208975464248,0.10605652818852768,0.7685151864925596,-0.6589994992673232,0.11509046690931339,-0.3024019741555103,-0.3643107140092422,-0.3077941910874575,4.456805497893342,-0.17458803979113904,-0.33994206815538996
SOCS3,0.9733145782259327,0.324022738860283,1.9982793979238809,2.5237100167691295,1.5123139166723076,1.2552563993284627,1.386153807901745,1.3389631579127232,0.05231153481627475,3.267342774441544,1.883747314399144
STAT1,0.45509169545569533,1.4297624272682425,0.9264613685770068,1.0917624417357819,2.986355013561311,2.861241820828113,3.5812354503262043,3.937329551459039,3.7694792389222003,2.6503010113585805,-0.11621378372687181
STAT2,0.21476196081656915,0.6780980907405658,0.5846812355489392,0.597235105350322,2.8186634354834927,2.2317764107298514,2.6041823922889398,2.2055014023892126,2.385601184013218,4.445349132770277,1.2130273420073834
TRAF3,0.4404710763512943,0.013454560007365206,0.47879712028022503,0.3614375144448239,0.9775578765000232,0.3588040187315275,0.659590435120171,0.5304165972611009,-0.4371392324076994,2.2331120833765654,2.1346654924989856
TRAF6,-0.06632197820370955,0.07476328089662232,0.7590861336230809,1.0198749581903241,1.1655183364512467,0.8204696163878155,1.2196093263721854,0.5253174700707932,-2.9755189917196363,2.3918099102975043,2.3773318591111727
TRIM16,0.2638227474072236,0.054828987081283184,0.6482642560321085,-0.3822434349168526,1.626465322727548,0.1890053526298364,0.44332062108921616,-0.08655526664994549,0.5988132943234332,0.10755571957527041,0.3273072741272373
TRIM16L,0.10379821484773621,0.07142939528913349,0.87303204296618,-0.06884428796277951,1.1194881172936206,-0.0857917057312894,-0.09055658340374839,-0.7758767759357588,0.20153361882027312,0.37406963016204764,0.9476040284429496
TRIM17,-0.40662777923385696,-0.3828186544075536,0,inf,1.291465691925082,0.46177765782719854,0.20424491905698242,0.3120760637148137,inf,1.080055727672293,1.8485821239190365
TRIM2,-0.37144259727922707,-0.1972734811590554,1.5977666341773074,-0.12359968269655702,0.6099589135953809,0.16829346234721368,0.4949833814649963,-0.14393490306428905,-2.8782785510941786,-1.332911748558321,0.4829669388313238
TRIM21,0.2789630543498565,0.5537354796954129,0.3518502650670757,-0.2311502908974927,2.715111361736985,2.955474929955157,3.168141963582779,2.7567610675794176,3.241569715018639,3.2330205160902366,1.0844981142525838
TRIM22,0.11635822924654325,0.7994057868762676,0.6009474784751538,0.1624528062361811,6.176540544587672,2.9731746754077313,3.8510466638277268,4.603981966651775,3.577092366669984,4.265730590908798,0.16459532993789733
TRIM23,-0.3695423558869719,0.0569397305731813,1.1820275587494236,1.008994771288661,1.1772319890153673,0.17880998368692416,0.5622654959575797,0.6767800018346167,-0.6823773040390525,2.3390100285762228,2.549626780915922
TRIM24,-0.1244571549745609,0.21348904333722826,-0.06324555698496687,0.19748622631248314,0.6363068784509643,-0.17418737084624078,-0.053272957818486594,-0.7665257688470645,-0.7474495892498868,0.8333981194257615,1.1190779370811625
TRIM25,0.26543660764801535,0.6477620204675159,1.0348557511255556,0.16103127079557789,1.9927889530465357,2.4459985484344977,3.0930642867586955,2.8483237095500455,1.511581577923451,2.7807194373802755,0.889071895706679
TRIM26,-0.13761774064714938,0.15473008496516943,-0.6809707628723558,0.6978050264567479,1.062846286931141,0.7259876014381211,1.0922490110799858,0.8103454129145137,0.6756941952807032,1.7783494404846252,1.6592105830404886
TRIM28,0.08222496857675768,-0.08640005356422154,-0.5836317537091368,-0.06182646741467032,-0.21597692681091948,-0.1569827186829989,-0.2570614112636267,-0.2629808546174086,0.23817207828762674,0.44913877002846925,0.4615062360658362
TRIM29,0.012965284962151024,-0.05728423948094296,-0.18625596873901576,-1.6833929079672076,1.9209885093378114,-0.11289617409274214,-0.29846646390520115,-0.6118278918907186,inf,1.3214443306664942,1.8514361307773788
USP18,0.3817920367891209,0.9969950700289084,-0.5324207405262184,0.8038551208509632,4.401517586101871,3.84812336421582,4.788637500127375,4.753620455012846,-1.1891565974098621,4.805452119383624,1.2570366057741016
BCL2L11,-0.6012579775786012,-0.10492710288944261,-0.13701828913362651,1.0201496694850773,1.707014177134138,-0.06174055035203036,0.735488769450501,-0.5589541844364129,-1.9553701219746797,1.7633597898411046,2.239286777888629
BID,0.4785350307894342,0.03919420970236261,0.07443479980658341,0.008206936485643654,-0.0798243809908086,0.26234667947746115,0.2876416280478834,0.0794715116342843,1.5137902024742096,0.45515085426376617,0.48772999101099523
CASP1,-0.12207935105529746,0.923207555697275,1.4467908722275824,-1.0561631630277288,2.9697741121687313,0.5916411416315872,1.0089733597533697,1.279206761816342,2.92743968144144,2.884439124109055,-0.16907281107499433
CASP3,-0.1179176470538735,0.27052568945310324,0.633489126638902,0.003986415444845731,0.6205741192009532,0.9597353570157428,1.3350743528391065,0.9986424514602624,-0.3702850312932934,0.6331824719436582,0.5451589063743533
CASP4,-0.02538543462739906,0.2778036158592447,1.5665705610110119,0.4403859401328766,1.3116092942531532,0.9848671922020419,1.0943781300020667,0.8676261480799223,3.4971412889980766,1.0851779127129688,-0.4280182173886435
CASP7,-0.05006194096316377,0.40926496582864097,0.5970397749842855,0.07579335859087709,1.5153993432600403,1.5083089176873854,1.9525061349383759,1.8596218627940584,-3.149688645476251,1.4840552770228366,0.35199594457753663
FAS,-0.1936548577189537,0.15475640448438047,0.7412071959986803,0.21278422879561457,1.5989305322833296,1.0319507141899205,1.5536268440823944,1.2784502225166143,2.1484403622842034,0.4903241880785392,0.6606611204754689
GADD45B,0.029639960975100885,-0.020148864153877937,1.6151120550650828,1.5104925807139629,2.3606946643309263,0.9618337697786146,0.7062642737467808,0.6501000315647375,-2.178460649312935,3.5202635002530274,3.06908622754665
ARL6IP1,-0.2736772032738063,0.20202413942211325,0.06153443154525363,1.0040580701487745,0.045163517015666656,0.43823033594822786,0.5742479148264715,0.23248484086169288,0.06313551655736478,1.5510472523092658,1.7038329686960902
CFLAR,0.04393739013497588,0.09353195530809343,1.2069118486067811,-0.007735789612942422,2.0486810214876856,1.142245849194627,1.528872423890362,1.0136305975749527,1.8389946900898055,1.5833596562570833,1.6126540700099206
ACER3,-0.13618496617858475,0.24187327645271056,0.7112549515383846,0.7802200038451604,0.46012208319788445,0.8706139611306144,1.260560691596383,0.9524513618298202,0.2829493497004232,0.6947043282851542,0.3650616221584701
CASP10,-0.016432176746337453,0.37674079202021543,0.4429007595672736,1.2392383417487904,1.425708304837456,0.8691072869155836,1.507826760722654,1.2443770097453466,0.3102511615868937,3.0380009834928297,2.525209876505696
CASP8,-0.01576484818637276,0.3478393644541245,0.6200291570226566,0.6618710193422456,1.06203151235038,0.38461914093390637,0.6070289403449871,0.28255614406395213,-0.6965079968168133,2.545864560903177,2.248113116987435
APLP2,-0.07196274241746706,0.13460770999910293,0.7173515312837003,-0.8030186782583097,0.06442069806559274,0.3025062205132299,0.45762514182666797,0.2126317321378475,1.6395726489868014,-0.8277863859947259,-0.8767920299420424
CALM1,-0.0445453507188644,0.16829306910811037,0.17038051175270383,-0.31460790223273233,-0.3668552941294163,0.4119189814626214,0.6987451448892651,0.3512065097048329,0.2606311881288257,-0.19251575213871405,0.07833106842165916
CFB,1.7975653684185264,1.2052567405680046,2.5702296919377186,2.3524120184240607,1.3036310755889706,0.6310263279359725,0.8011676746840234,0.9669291515271101,2.687542460267645,2.216695896263889,0.0016247804845911336
DDX5,-0.008405085849273066,0.37018009071014396,0.41758586362574807,1.012031561668626,0.9004910945764802,0.7503221631266952,0.7914052762743957,0.08675597592801478,-2.0396706349044744,2.1644103653570395,2.2846845376530034
EDN1,0.9913645027565243,0.4592859140877398,0.2902565299901953,0.18402971305627522,2.470959184600048,1.589962810513999,1.822834668646584,0.9522467387542198,0.32302460293441043,1.9241139233629834,1.6560968166489314
ENO1,0.1719195483198157,0.06926674889784566,-0.023185833417123023,-0.4232703081695507,-0.38310964013512766,0.4091225557620401,0.45100979213613107,0.3582621018684581,-1.2281608518214677,-0.19661873451076267,-0.16957249663387927
F2,-0.08899463739516571,-0.06677425357075338,-0.37191323074733634,-0.3776162248937875,inf,-2.0090912342177885,-1.4266416575522551,-2.716682857260726,inf,-0.07257228548170831,-0.23315739562079654
FLNB,0.313530849532954,-0.029611402215870507,1.4333627946463934,-0.39170943574477907,2.118829247792024,0.7569377446486895,1.0337010771007316,0.7732212862498876,-0.620177873650123,1.573312203246424,1.2213000153089604
FN1,0.2266327726247736,0.3244499683787415,0.49387513122913335,0.39150087876625594,1.0748051680803639,0.6757199277999132,1.0306699482195016,0.4058133082570271,-0.13659663309724573,0.4657294577833705,0.1653232941446537
GJA1,-0.1987735351869015,0.46227918738753226,1.4593831307973313,0.1443917748520763,0.5037958399641775,0.19142688893145526,0.5102430854771608,0.1480620931097179,-0.7152187367020896,0.5890440037238582,0.5707687162038007
ITGAM,0.1434325031317741,-0.14453379325149698,0.48432924677108447,0.5419456398965145,2.9254498396223747,1.7127357892815254,0.7173391586781458,2.1936046029178464,1.4836818235101477,1.7035443279320905,1.7853519161536464
LDHA,0.16375555160556676,0.32417950399619677,0.26413085632423755,0.46422860517929665,-0.05526715161286453,0.3389160389779552,0.44845469145329536,0.2536232156560714,1.0371141835757534,1.1027603828678143,1.2379557552103844
NLRP6,0,1.2217711821560444,1.4071169053663766,inf,0,inf,inf,inf,inf,inf,inf
PLAT,1.3173378477425897,0.2134190293462508,0.7635100501845898,-1.1852639691009375,2.9316328458324104,2.9442920916018527,3.0700370141393156,2.239797506836542,0.11637937522079443,0.9588995486356853,1.424278687129276
PLAU,0.4859145445092648,0.04456745728267737,2.1283723327896924,0.3386954083292155,1.7260080881298663,0.639710128443686,0.507578829181904,0.19919034239760786,-0.5209374805483532,2.021898859945384,2.4173798973287735
PLG,0,inf,inf,0,0,inf,inf,inf,0,inf,inf
PRSS1,0,0,0,0,1.669790811442423,0,0,0,inf,0,0
SERPINA1,0.24575615340444137,0.2944597804937623,0.9587913651992144,-0.08221524639351108,0.46878966629369606,0.02044671368217657,-0.005285388461470473,-1.3102006340332712,3.69483276046567,2.0623065582925455,2.0541900753016655
SERPINA5,-1.7604347975097154,-0.6071008463857357,1.2560677285477773,1.7275718266223348,0.22650662803199334,inf,0.6430507606270418,inf,inf,5.429255365671958,5.60004818996334
SERPINB2,0.6291100539792023,0,inf,0,2.836702906208164,1.034683725214085,1.3399152396537468,0.17193640121354412,-2.0673294422296498,0.52785034202024,3.3445123895144007
SERPINB8,0.3244610245104124,0.3333196770260251,1.4220007617091546,0.36030022211953044,0.708959512834566,1.2012488892674114,1.4906464226037908,0.7327574231048842,2.3226454141491004,1.3325901921524572,0.4779808833272639
SERPIND1,-1.4583730251404392,0.527300723196886,0,0,0,1.352449602173126,1.1586311240727722,0.32734117069603713,0.45971273618911657,0,0
SERPINE1,-0.11500467235194253,-0.2503040518003227,3.1253656364734343,-0.8919964921273601,5.234749274612908,1.2558342652002377,1.1491732200358227,0.8219397110695958,0.5235571825013174,1.8707389499940814,1.2686001853273248
SERPINE2,-0.20538096354088733,0.1865545091966786,1.4672531786311243,-0.3120849068016534,0.7788711662797965,0.22953205699704937,0.08034916003819245,0.06563905071129907,2.8647301207770566,0.3934081284813212,-0.03685627351804602
SERPINF2,-0.4811551658668184,-0.23736860536642715,-0.33087673923304955,-0.11650346380578981,0.9938796275169256,-0.1703423827555368,-0.7440960709689836,-0.10626293808885756,-1.3919900318930167,0.10905384954829549,1.7461244456947846
SERPING1,0.14074565937139968,2.402622770649512,1.1913315488621572,inf,0.9137521376125154,1.9637053501222181,2.1306565370206005,2.197294039697385,0.842696518189567,5.281193840057691,-0.6070910778862251
SIK2,0.0616006950449398,0.04427424182632524,0.2290510830673479,0.4498297974367119,0.5293317489218192,-0.154558120862398,0.30967482085899184,0.13017031570188578,-3.1099817871703834,0.8364147731699667,1.3716157881295026
SOD1,0.11209951187582412,0.18542480896752564,-0.5184370455760263,-0.02846126043269754,-0.1334178100159371,0.2271204381957814,0.10141630352664141,0.0019325663357897395,-0.2855080261191817,-0.22415563782043688,-0.1897748378391144
SOD2,1.465028990062632,0.3745808766321949,2.3007915428526675,0.9204707752267438,2.4733214292520453,1.2654755467153898,2.179289264916183,1.1809358904840244,3.050544575319962,2.4754872443738347,1.804126835669143
SOD3,-0.903743528657502,0,inf,0,-0.5795154558721903,0.9030090139944732,1.1002078288926433,-1.3727879110669965,1.940679186646814,inf,inf
SRC,0.14862264072390569,-0.04440779974857431,-0.12349400986490745,0.10252896276709132,1.113891946408859,0.5845328585779349,0.5998322164356555,0.2240302479421891,0.3629043645622193,0.6986879593572346,0.7548842994533693
VEGFA,0.378670872560606,0.033734722581068466,2.2411383388817394,0.7734404255104025,1.9519859877057983,1.2285995163621994,0.9173883144414849,0.4407719851144268,-0.9156929635038644,2.995044920505096,2.94355042913613
VEGFB,-0.11721483652891193,-0.19602715880203508,0.2944712465812468,-0.2239012427779175,0.0798233010086497,0.15254901083311448,-0.07231104178575322,-0.3377226463345089,-2.088275383414085,0.8839889274877705,0.9960789826491859
VEGFC,0.3019360850404625,0.34181562553834416,0.9156446833997923,0.5571122497098447,2.046184519685883,1.9667375947641574,2.0159775410054115,1.9694844637199747,-1.698916911726576,1.8873747075715028,1.586740693837969
RUNX1,-0.07259010265885273,-0.013220715519195795,1.3157585710369781,0.6165062430427114,1.4457255076253785,0.5236525525708827,0.8541968519606662,0.2647249068525772,-0.20778880540009992,2.215671305475904,2.2675235882283635
SLC22A4,1.2115026848686132,-0.060910808940979964,0.8390792122851031,-0.9302495412758316,0.05366916375695594,0.7565720700608576,1.1866317037440768,1.2514887227939404,1.1737303241094381,1.6236383154983736,1.3781378746453943
