,"fold-change edad [0,12]","fold-change edad [13,19]","fold-change edad [20,99]",fold-change mujer,fold-change hombre,"fold-change mujer edad [0,12]","fold-change mujer edad [13,19]","fold-change mujer edad [20,99]","fold-change hombre edad [0,12]","fold-change hombre edad [13,19]","fold-change hombre edad [20,99]"
SERPINB1,0.11094184802017852,0.0,0.048616936793844844,0.06686845854576612,0.06881873231028605,0.20927186095531192,0.0,0.017667443917058743,0.02011696813730341,0.0,0.06576570514369931
MSN,0.09742826859315026,0.0,-0.012197098292060496,-0.004537342936154783,0.02535740633872073,0.002595839519916201,0.0,-0.02232850390359189,0.07632543035217736,0.0,0.028163982785373
TRIM27,0.047736975273119334,0.0,0.03506005105959833,-0.04580302382007989,0.12023761880892998,-0.1621670615697716,0.0,-0.040406040192067276,0.06682324198620052,0.0,0.1824650454315948
BST1,0.1146839619373201,0.0,-0.04283358973026485,-0.047123521033780064,0.06216535725842001,0.09831862239390861,0.0,-0.059281822509883765,0.12143016580362306,0.0,-0.0010364214735791863
ENOSF1,0.08540062344813831,0.0,-0.011861226505134317,0.044203147798653315,-0.05459028814142532,0.2890218653252574,0.0,0.03757008660257325,-0.009225623533112098,0.0,0.08486862320839332
ARHGEF26,0.021364015589008353,0.0,-0.012050490518293827,0.0024068913812472495,-0.010977635746602656,-0.15976834395645412,0.0,0.0068038438327702655,0.033674849962963584,0.0,0.08358927672742845
CDH3,0.28126105947194063,0.0,-0.07519592801820536,-0.0032514851251385876,0.0010336971634902698,0.6383014605596735,0.0,-0.04970727516932643,0.13552835915372158,0.0,0.1127549357085449
CD44,0.11987013808920804,0.0,0.03379995223390686,0.029366109042731795,0.040148120339878086,0.2643109540907446,0.0,0.013966224148461609,0.03176501329013253,0.0,0.08904228571654561
ITGA3,0.14787499803619866,0.0,-0.18897066601350512,-0.07543673086098669,-0.11794047024747581,0.43931452277351407,0.0,-0.10499381740155488,0.047656377355387795,0.0,-0.11467747084897324
ITGAL,0.015533606055743422,0.0,-0.06991203864143257,-0.043458595023452895,-0.04202771939774573,-0.23910510763339043,0.0,-0.04324479690927369,0.019954792331490695,0.0,-0.03811147754862095
RHOG,0.07428336107847568,0.0,-0.08538341806378044,-0.018072866507927998,-0.01921525784258877,0.25343411477016314,0.0,-0.06542422482898955,0.02890003443413106,0.0,-0.0715602917261719
DNM1L,0.07234068029326893,0.0,-0.00903823963104035,0.008545616787354491,-0.032138634409962806,0.20286678776523762,0.0,-0.022093888487558406,-0.02344540812545449,0.0,0.07480529676506911
RIPK1,0.07201372936035069,0.0,-0.025489353881177512,-0.010647854690429184,0.025619614998998494,0.08796321302778795,0.0,-0.050159062647382915,0.002474877375234072,0.0,0.09653383720021325
IKBKG,0.06365938526041645,0.0,-0.1307094176229965,-0.0404025908529922,-0.10523207282166196,-0.18744911453964266,0.0,-0.05031555150065271,0.13177686626297674,0.0,-0.17603451154740934
PNRC1,0.2795832443529436,0.0,0.007390910374826353,0.10229834146338442,0.058580606759309185,0.5321907493674876,0.0,0.03416946465255632,0.024206826203634145,0.0,0.0642313875358372
HLA-DQA2,0.7693591366544862,0.0,0.3359788319301045,0.3124202525899315,0.25895195950555033,1.9866401199412438,0.0,0.36455214145576714,0.35715795559004215,0.0,0.37049034006538073
HHLA2,0.2172836898365915,0.0,-0.0527600694160053,0.058912265321508644,-0.16309465784998325,0.4518724504248555,0.0,0.015218922476594754,0.05110401537546601,0.0,0.02555122185196218
HLA-A,0.046454498514165166,0.0,-0.057838543006523066,-0.011727291625350288,-0.012733654543394464,0.07689449077108552,0.0,-0.056291078411092134,0.011413651937487506,0.0,-0.0006960059490751123
HLA-B,0.07411235228824578,0.0,-0.057537459477591556,0.014582819505344841,-0.027678463809603763,0.4044296607300528,0.0,-0.03232360837861948,-0.021687201552336662,0.0,-0.029601751757753002
HLA-DOB,0.20002442239191814,0.0,0.05911551418464166,0.04201575886944185,-0.009592919560055358,0.4318144848033824,0.0,0.051538079450703614,0.1848557827493898,0.0,0.19725690670375384
HLA-DRB1,-0.08396584115745905,0.0,-0.008570939208443502,-0.04414503352163447,-0.04747640033234344,-0.06295472214392481,0.0,-0.04108135007329342,-0.03720337983879248,0.0,0.00902246380675376
HLA-E,0.07632665670709333,0.0,-0.041848717623155694,0.011886115735953778,-0.006406550620237119,0.11724089563067762,0.0,-0.028398564670212966,0.017981747385131898,0.0,0.003352949742896124
HLA-F,-0.06613694053976767,0.0,-0.17459917607728953,-0.03950008160609827,-0.19917521973821656,-0.05298681510308363,0.0,-0.06625630812257544,-0.0875356992986807,0.0,-0.2147844580698512
HLA-F-AS1,-0.008953408668946373,0.0,-0.08957398532066635,0.0009763873946619393,-0.1432684081579937,-0.02108102340211648,0.0,-0.03784813470696359,-0.04347573544604807,0.0,-0.07823904368201115
HLA-G,0.2362814027891785,0.0,-0.003501531624563725,-0.15867036409916488,0.07883996907667162,0.12260346002882233,0.0,-0.14254777004628608,0.27858973489471284,0.0,0.15323872788212506
HLA-H,0.6304531533808483,0.0,0.03371614087962803,0.05891780661107721,0.2038404614645119,0.754549859368595,0.0,-0.035344853733794035,0.49755058781982253,0.0,0.18328734460185975
HLA-J,0.09899394018878764,0.0,0.023833370557058118,0.046269109023653894,0.014068804537302838,0.2289428075094846,0.0,0.03842839364263951,0.06483654635314688,0.0,0.10341999138508678
HLA-L,0.1322955139275031,0.0,-0.1199491769904999,0.10799108336861098,-0.18040535858791956,1.7365280558744414,0.0,-0.069520158366319,-0.22998712698854107,0.0,-0.09225293232683401
IFI30,-0.01877827548288683,0.0,-0.0634085813057669,-0.039450608340836545,-0.03503620823898073,0.21065729413006012,0.0,-0.06186711595301125,-0.048292376054169237,0.0,-0.06440343433013053
FGFR1,0.2260335797584237,0.0,-0.12847309529178255,-0.0583627898422422,-0.076205412179235,0.4826944831852188,0.0,-0.06216328652765168,0.19430974748573857,0.0,-0.1523826550949947
FGFR2,-0.0589139180957142,0.0,0.14750817983469566,-0.07799745517683106,0.3619689829560358,-1.225337884957565,0.0,-0.10980297521515825,0.29103086820861584,0.0,0.5105388332843509
FOS,0.34728602367023925,0.0,-0.06745734489833068,-0.06230630523247691,0.1658339351657911,0.5613717300751326,0.0,-0.08609666047576159,0.26015868650258356,0.0,0.043380319334302773
ICAM1,0.22778768745235992,0.0,-0.0625189784670061,0.1923334171298964,-0.14777607791539774,1.1776577178767185,0.0,-0.03216325528808099,-0.20691703317711047,0.0,-0.16003891848725801
JUN,0.7401755935185418,0.0,-0.07266158962333466,0.1686262159255523,0.07255207646708228,2.7704878304354197,0.0,-0.05187066963953653,0.014872727786191944,0.0,0.14325677350146623
