,7_1,7_2,7a72_1,7a72_2,7b72_1,7b72_2,Promedio Control 7,Promedio 7a72,Promedio 7b72,fold-change Control7 7a72,fold-change Control7 7b72
DLG1-AS1,0.0002741152928663559,0.0,0.0002747144931202409,0.0,0.00034365442101125693,0.0,0.00013705764643317795,0.00013735724656012044,0.00017182721050562847,0.003150206495077845,0.32617570109362926
DLG1,0.030783147387113522,0.03557634771507856,0.06018209644642086,0.053258090103275674,0.05213237567823573,0.038569626699548464,0.03317974755109604,0.05672009327484827,0.0453510011888921,0.7735569955014003,0.45083149112760246
DLG2,0.0,0.0,5.886739138087684e-05,0.0,0.0,0.0,0.0,2.943369569043842e-05,0.0,inf,0
DLG3-AS1,0.0,0.0,0.0,0.00035270258353976386,0.0,0.00026553959857208385,0.0,0.00017635129176988193,0.00013276979928604192,inf,inf
DLG3,0.003947260217739415,0.006323777402613985,0.006475413051896453,0.003703377126657126,0.008247706108080627,0.009692195348437323,0.0051355188101767,0.005089395089276789,0.008969950728258975,-0.013015838649161811,0.8045900298782147
DLG4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
DLG5-AS1,0.0,0.0,3.9244927596733534e-05,8.817564588494096e-05,0.0,6.638489965414622e-05,0.0,6.371028674083725e-05,3.319244982707311e-05,inf,inf
DLG5,0.0030700912811082817,0.001767937768767449,0.0029629920316047676,0.004320606647341319,0.0019244647582346078,0.004005222277813292,0.0024190145249378655,0.0036417993394730432,0.0029648435180239497,0.5902320010590272,0.2935365305503195
DLGAP1-AS1,0.0014253995229437082,0.001536745906635848,0.0020407362346318873,0.007935808129644686,0.001237155916212094,0.0031200902840563794,0.001481072714789778,0.004988272182138287,0.0021786231001342366,1.7518977141579126,0.5567741601127374
DLGAP1-AS2,2.7411529286635586e-05,0.00031278898977204003,0.0010007456534749063,0.0022925667927532678,0.003333447886381253,0.0020358035889784746,0.00017010025952933781,0.001646656223114087,0.0026846257376798638,3.2750821438459186,3.98026372954277
DLGAP1,0.0,0.0,0.0,0.0,0.00017182721056913615,0.00017702639904063907,0.0,0.0,0.0001744268048048876,0,inf
DLGAP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
DLGAP3,5.482305857327117e-05,0.0,0.0,0.0,0.00013746176846801046,0.0,2.7411529286635586e-05,0.0,6.873088423400523e-05,inf,1.3261757017601583
DLGAP4,0.020558646964976692,0.011613991187481696,0.02093716886960017,0.016312494488714076,0.02814529708993529,0.02662034475824206,0.016086319076229195,0.01862483167915712,0.027382820924088676,0.21139314569937998,0.7674368361823259
DLGAP5,0.004029494805367377,0.008513300332630567,0.01361798987353476,0.014989859800439964,0.013574349634231417,0.00856365205311531,0.006271397568998972,0.014303924836987362,0.011069000843673363,1.1895521748968039,0.8196661156295785
DLK2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
DLL1,0.0013979879937343878,0.0009519664907507568,0.0007652760879513989,0.0006172295211945867,0.0010996941477440837,0.0013276979928604194,0.0011749772422425724,0.0006912528045729928,0.0012136960703022517,-0.7653474801429306,0.046774378005773755
DLL3,0.0,0.0,0.0,8.817564588494096e-05,0.0,0.0,0.0,4.408782294247048e-05,0.0,inf,0
DLL4,0.0002741152928663559,0.0004895827666487849,9.811231897761037e-05,0.0,0.00030928897900539277,0.0,0.0003818490297575704,4.9056159488805185e-05,0.00015464448950269638,-2.960496160327711,-1.3040469316492507
DLSTP1,0.0,0.0,0.0,0.0,0.0,2.2128299877298573e-05,0.0,0.0,1.1064149938649287e-05,0,inf
DLST,0.0007949343493897471,0.000897568405657131,0.0011577253639187342,0.0009699321047343507,0.0010653287055476964,0.0007523621959171535,0.0008462513775234391,0.0010638287343265425,0.0009088454507324249,0.3301077280000091,0.10294870772713784
DLX2,0.0,0.0,0.0,0.0,0.00017182721056913615,2.2128299877298573e-05,0.0,0.0,9.697775522321737e-05,0,inf
DLX3,0.0,5.439808519036412e-05,0.0,0.0,0.0,0.0,2.719904259518206e-05,0.0,0.0,inf,inf
DLX4,0.0,0.0002175923406969643,0.0,0.0,0.0,0.0,0.00010879617034848215,0.0,0.0,inf,inf
DLX6-AS1,2.7411529286635586e-05,1.3599521289529509e-05,1.962246378414331e-05,0.0,0.0,2.2128299877298573e-05,2.0505525288082547e-05,9.811231892071654e-06,1.1064149938649287e-05,-1.0635065047123362,-0.8901200887362956
DMAP1,0.002439626107361033,0.001509546864089035,0.005651269573133115,0.004673309232412265,0.0056015670656271175,0.006284437166576826,0.001974586485725034,0.005162289402772691,0.005943002116101971,1.3864604641573552,1.589641336268374
DMBT1P1,2.7411529286635586e-05,0.0,0.0,0.0,0.0,8.851319953144479e-05,1.3705764643317793e-05,0.0,4.4256599765722395e-05,inf,1.691109794916581
DMBT1,0.0005482305857327118,0.00033998803248008335,5.886739138087684e-05,0.0,0.0001030963263351309,0.0,0.0004441093091063976,2.943369569043842e-05,5.154816316756545e-05,-3.915374209040653,-3.10692188677771
DMBX1,0.0,2.719904259518206e-05,0.0,0.0,6.873088423400523e-05,0.0,1.359952129759103e-05,0.0,3.4365442117002616e-05,inf,1.3374026504069956
DMC1,0.00024670376365703537,0.0005303813306302347,0.0002550920293360976,0.0,0.0004467507476004186,8.851319953144479e-05,0.00038854254714363505,0.0001275460146680488,0.0002676319735659317,-1.6070547679662568,-0.537822106075444
DMD,0.0017543378744219926,0.0019175325029361506,0.002649032612139458,0.0036152014797513963,0.0017526375478877487,0.0008630036954148987,0.0018359351886790716,0.0031321170459454274,0.0013078206216513236,0.770622996257142,-0.4893504533874817
DMGDH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
DMKN,0.029549628572694095,0.017257792518363835,0.03029708410570238,0.04690944359751834,0.0413416268546083,0.03463078930496845,0.023403710545528963,0.038603263851610364,0.03798620807978838,0.7219855501952948,0.6987384238818755
DMPK,0.0015898686987794943,0.002298319099881375,0.0010399905811569806,0.0029097963147134464,0.003574005978263041,0.0026775242860653976,0.0019440938993304346,0.0019748934479352134,0.0031257651321642196,0.02267691470087898,0.6851114768033268
DMRT2,0.0,0.0,0.0002550920293360976,0.0,0.0,0.0,0.0,0.0001275460146680488,0.0,inf,0
DMRTA1,0.0,0.0,0.0,8.817564588494096e-05,0.0,0.0,0.0,4.408782294247048e-05,0.0,inf,0
