,fold-change Control1 1b24,fold-change Control1 1b60,fold-change Control2 6a24,fold-change Control2 6a60,fold-change Control2 6b24,fold-change Control2 6b60
LDHA,-0.4186818123022446,-0.8510265589422807,-0.3989937525856884,-0.2892801532245729,0.6546757039125811,-0.25176914974833475
NLRP6,inf,-0.13769584222499737,0,0,0,0
PLAT,1.3249690923606827,1.8951918482907384,1.217129122859423,1.090589365663529,3.1517056545914284,0.09837835390702075
PLAU,0.6865573760800332,0.6374810096014187,0.5212335659812352,-0.06367528918067542,1.3004078286742429,0.6695124673917597
PLG,0,0,0,0,inf,0
PRSS1,1.3058179769300695,1.764830679240585,2.192366841411289,-0.44693371872500737,1.3209503424177798,0.9045674335723074
SERPINA1,-1.3961753930614966,0.5999409026161598,-1.557331920758718,-1.452045409406962,-0.8771348293809295,-1.0407734513936386
SERPINA5,,,,,,
SERPINB2,2.8315330587919445,-0.13010511670247193,3.8910776800320477,2.601679485261644,5.6907837627058555,1.020369563156489
SERPINB8,1.0432661497847782,0.6059758885779254,2.4628029484508653,1.4637451185646722,3.809617743566594,1.7602788851041813
SERPIND1,-0.078393855173929,inf,0.8438413069623217,inf,inf,inf
SERPINE1,0.9081747036322451,-1.502227283812119,-0.5191570749642522,-2.0327866595818844,2.5338825748611797,0.29795070399538276
SERPINE2,0.4981340147295622,-1.737962153858024,-0.2596755197966454,-0.5067699629661346,0.2408793444762383,-0.5332353773181419
SERPINF2,1.0474678214277793,-1.4242906090108864,-1.1082818608983263,1.7903859924251893,-0.6038182418570303,1.4277513225011398
SERPING1,inf,inf,0,0,0,0
SIK2,1.3063759640517294,1.9477965264203891,0.5958840991621598,-0.25288904823961794,0.8378196883499249,-0.4689453120739322
SOD1,0.5962546195723445,0.8414268822440776,0.8167081180003793,0.6601049056712114,2.0043229261831064,0.9645913964345102
SOD2,-0.23323868282067067,0.38917420296875493,0.8674977785993788,0.7040963301705646,1.8428906020428912,0.9037443754291564
SOD3,0.823233498466989,1.3761638198095532,-0.35778723038376303,0.33935889748954473,-0.7553194198439491,-0.046911245388724314
SRC,1.3810172747114373,1.7135475183075144,1.0705269452743134,0.27349557585794604,-0.46812857043098427,0.3603104205386746
VEGFA,-1.2518227481115065,-0.5292421906871186,-1.7515408536147121,-1.8841808410705185,-0.6958101996883302,-1.4639340199283954
VEGFB,0.41743079227627894,0.808086000558688,-0.6688685450006887,-0.4790947389742385,-0.2750419695772829,-0.18064247575025832
VEGFC,0,inf,inf,0,0,0
RUNX1,0.20492054613990612,0.16963833408211118,0.1590839545501379,0.8513604598981696,0.7193517088678812,1.0367146003081016
SLC22A4,-2.8368348483903665,0.30003519172678195,-2.0802017446498886,inf,inf,-3.220278097890902
SLC2A1,-0.09377179890015037,-0.14107070987034545,-0.9141879495754084,-0.9385157047042528,-0.30688140468670705,-1.0287613558901862
SLC2A4,2.164526551055551,inf,-3.644619645917166,-1.0657711468070798,-3.843748664632745,-1.133742360437262
SLC4A2,0.7866499202223315,0.04154460052413785,1.1036653518396153,0.9952264828242632,1.2394665965107674,1.0686295014155311
SLC6A14,0.22699985000705955,-0.014211466551521374,1.440603618784683,1.1274645756168522,1.632521095724079,0.7844102133148669
MAPK12,inf,inf,0,inf,0,0
PCSK9,0.8462708478137293,-0.7250343834712991,0.16581352766283222,-0.030169704559118434,1.3802568332083036,0.30371009361046714
SLC4A11,0.7432556001641885,1.8483103685484479,1.3389037773183126,1.2943647215812972,-0.45421820923561695,1.388121136241903
ESRRA,1.2984343411077222,1.3646303119324186,1.3924999910496514,0.5186016317104073,0.5890692680880969,0.4606255421509523
EEF1A1,0.6684558340329945,0.5675203892756677,0.617828380427714,0.2575889271641007,0.9809737635015187,0.2771295717034179
BDKRB1,0.734895378601167,0.9455256169207982,1.4151006457237865,-0.29437525075579196,0.5040146561305022,0.12110305364511127
BDKRB2,0.8784044038630449,1.5285589791256995,1.893329079475269,1.0888663694595444,2.1840396040554833,1.4939000187022975
BATF2,1.747751661733651,2.0773129224338738,2.9542642852955905,0.7664996989362806,2.7658278791024142,2.0004844288627184
ZFP36L1,0.3120399615847297,0.3337233268154777,-0.006590100443480303,-0.15082667153978735,0.5556193999936354,0.24012565306290526
MAPK13,0.3210490010642822,0.33248852014775093,0.9029430180504469,0.5681242329978519,1.819800791725653,0.7623834920532524
S100A14,1.246517678742596,0.49362400358981784,1.243582641738918,-0.6963781925612295,1.8417916480625538,-0.32620820016731755
FGF2,0.24526756478396947,2.014462317843726,3.9679064220110325,inf,4.53614256182068,1.0203691724886672
CTSB,0.5522195108706914,0.8666507881772756,0.5304028432067545,0.3827469545076426,1.0735945121582358,0.4478069538269218
COL5A1,0,inf,inf,inf,inf,0
COL5A2,0,0,0.4020080332349343,2.541575617503275,1.202879079196627,1.9128853337087253
MAPK3,0.1575836857508773,0.9928963238551078,0.5729691165339779,0.1734746306543182,1.172859493717408,-0.27196686168037343
NLRP12,0,inf,inf,0.7107443181686444,2.1005794079710745,2.354873210970313
NLRP3,inf,0,inf,inf,inf,-0.6314351820889564
KNG1,,,,,,
SOCS1,3.2356402408239036,4.678156543281806,3.2965485333490716,0.8242716279066142,2.57451053402818,2.881318588120941
COL4A1,2.0331655162928093,0.8968844791198263,0.7648411604384424,-0.9638856006381656,2.6009600138098907,0.8089178339442967
COL4A2,0.6382605958981132,1.2742215423097158,0.3198711500097014,0.4528371029875514,1.6988020345552028,0.7025443585451663
SERPINB9,0.7027018037642984,-0.11892205687328644,0.9547256022936659,-0.572009312291453,2.125759775843366,0.2168113509339537
C3,-1.1670251640537548,-0.5270582025651555,inf,-2.7128672823666253,inf,-1.7839777139675417
CSF1,1.5573485047818814,-0.9632422361881531,-1.7002916375440351,0.5893979690021204,1.603079748613469,1.824091034002046
CSF1R,,,,,,
CSF2,1.7592009934575976,0.3430273643208578,inf,0.39800648842126707,4.672619268109276,inf
CSF2RA,,,,,,
CSF2RB,,,,,,
GATA3,inf,-1.6900465532487032,inf,inf,inf,inf
IL17A,,,,,,
IL18,0.87147822744315,0.5961987892016959,2.5369051494842125,1.0889434909288878,3.173988145428405,1.554315182482447
IL18BP,inf,-1.941481780926402,-0.3433653436950899,-0.36907412271387907,-0.7971209212426726,-0.7897623868803676
IL18R1,0.2663487928918553,1.42497627672229,3.7887778808917902,3.3599395844191373,3.322971829215479,1.418268240227973
