,fold-change control1 case1 lung,fold-change control1 case1 heart,fold-change control2 case2 lung,fold-change control2 case2 jejunum,fold-change control2 case2 heart,fold-change control3 case3 lung,fold-change control3 case3 heart,fold-change control4 case4 lung,fold-change control4 case4 heart,fold-change control4 case4 liver,fold-change control4 case4 kidney,fold-change control4 case4 bowel,fold-change control5 case5 lung,fold-change control5 case5 fat,fold-change control5 case5 skin,fold-change control5 case5 bowel,fold-change control5 case5 liver,fold-change control5 case5 kidney,fold-change control5 case5 heart,fold-change control5 case5 marrow
ACE,-1.2982267809816392,-2.404340656624978,2.556287210755148,-1.1197759312005935,-3.4564134270743825,-0.5812402626167111,-3.400845060072449,5.162863337608121,1.923813975510992,inf,,-0.2775906062149086,1.8122394030572722,inf,-1.514225661075486,-1.5198912309295454,inf,inf,-4.389137052152932,-1.6817157336007431
AGT,0.6812233268172198,7.2648987546276675,inf,inf,inf,-1.187066860361541,2.5675017386574677,-1.0294294768626426,3.1540245343733053,7.519007147833403,,-0.11409187393202587,-0.1587033350519203,inf,-2.5142256610754803,-0.989376514230763,2.460623436169678,0.4544886499975724,3.331962136554253,inf
REN,0,0,0,0,0,0,0,0,0,0,,0,inf,0,0,0,0,inf,0,0
IGF1R,0.8588877888481179,0.2789935845134505,1.338767510341006,2.028122763911723,1.6155364148046374,-1.3502860292458,-1.015888342244937,1.6674586779282299,1.0410900938407022,inf,inf,-0.10751922000853717,0.9158354619974564,-2.4186813277669463,0.11131865042229923,0.8362864259107262,-4.234256756629523,0.5669633792559754,-0.0005379176202853151,0.9543209517146819
ATP6AP2,0.7567636143666051,1.1246654381221557,1.707559368888731,1.026580599103321,-2.39751973802081,0.4697121659046073,-2.4033519156830137,1.8204301737094999,-0.8399516779989245,2.2447454865763605,,0.12396366370031944,-0.3854200860645753,-0.5069085107786843,-1.1521084760724223,-0.7829256367633395,-3.0329773224462704,-2.106226304476914,-1.57481257528049,-1.9205025931878614
IGF1,1.2379058683304092,-1.329052529320744,-0.9037469924508484,-3.0457753497568096,-3.2124878441882907,2.366826034081924,1.2195784352371584,-4.93632007247116,-4.405805355772378,1.4421915507825762,,-2.6584123901558363,4.4027830008935345,inf,3.352022950035693,4.217074363236662,inf,inf,3.5177535434555827,inf
VDR,0.06154656359623468,inf,0.28835423099735197,-2.306861483801082,inf,-0.41586178499095644,-5.436250396203643,1.8774611187458727,-3.498914760163866,1.3490821463910903,,-3.9214467959896364,0.7998802348159576,inf,0.3102027743410588,-0.8443261814274816,-0.8024109696641181,-0.9016551602277078,-1.4822464565444164,-0.5524327166557759
IFNGR1,0.8838278528069322,0.5921703572951384,1.2651245983727302,-0.6238184365381778,-2.1719600376056847,-1.161323506930847,-3.0781021134035265,-0.9495761691734267,-2.10533383868914,inf,,-1.8141127518783045,-0.7662732441796045,inf,-1.4751404531020929,-2.079126906532329,-3.484235009637862,-3.6830148737523656,-2.1003758212007675,-3.6492942559083668
IFNGR2,1.6998374030757715,0.5241060823499879,-0.460976661159071,-1.8973835098641416,-2.5388755872663564,-1.9245895582404622,-3.0497503000201966,2.0294642121909265,0.9123211689551296,1.4421915507825762,inf,-1.5804098781545628,1.3973645722038122,inf,1.1031583173380515,0.34260524532051573,-0.8992725089167082,-1.3610867788650052,-0.003078619845854484,0.5027088375366838
ACE2,1.7200337099393632,6.178742110877953,inf,inf,inf,inf,inf,-0.7075013819752802,3.475952629260663,5.671010241278456,,0.4004812988977291,-1.3396135382137293,inf,-2.9471850683515877,-4.5378131389268095,-3.7796908931640374,-3.393508256557385,1.1551834640708767,inf
